Season,League,Team,Minutes,Goals,Goals Conceded,xG,xG Faced,Non Penalty Shots,Non Penalty Shots Faced,xG/Shot,Opposition xG/Shot,Deep Progressions,Deep Completions,Passes Into Box,Pass OBV,Dribble & Carry OBV,Pressures,Pressures in Opposing Half,Counterpressures,Tackles,Interceptions,Non Aerial Duels,Corners,Non Throw-in Key Passes,Touches in box,Passes,Shots,Shots Outside Box,Box Cross%,Goalkeeper Long Ball%,Cumulative xG,Open Play xG
2024/25,Premier League,Arsenal,3787.9139,1.6394,0.8078,1.2765,0.7676,13.1391,8.5535,0.0971,0.0897,46.0226,6.0587,30.1274,0.7126,0.9414,133.1498,77.0529,50.2044,0,7.6744,13.2817,5.9637,8.8148,49.7529,481.4206,13.1866,3.5639,0.4156,0.3621,1.3137,0.9124
2024/25,Premier League,Leicester City,3789.4602,0.7837,1.9,0.7233,1.489,7.9325,15.2475,0.0911,0.0976,30.2576,2.5175,20.7813,0.4362,0.6375,178.5531,75.3827,62.2727,0,10.9487,18.145,3.3012,5.3437,23.655,410.5677,8.0037,2.5412,0.4525,0.3279,0.7791,0.5497
2024/25,Premier League,Liverpool,3788.0969,2.0432,0.9741,1.5975,0.7882,15.2768,9.1945,0.1045,0.0857,51.4136,6.8187,31.4089,0.913,1.0617,160.0381,86.0537,58.8738,0,9.7885,15.6094,5.9871,10.4775,49.6555,513.424,15.4906,4.0152,0.3767,0.4208,1.765,1.362
2024/25,Premier League,Southampton,3809.2338,0.6142,2.0319,0.6893,1.7438,8.1039,15.948,0.085,0.1093,33.8572,2.8115,20.2245,0.3278,0.6855,167.2777,73.3375,57.6257,0,9.0254,15.9717,3.5912,5.7649,26.6746,435.7963,8.1512,2.2681,0.4462,0.3707,0.7264,0.4952
2024/25,Premier League,AFC Bournemouth,3796.0771,1.3751,1.0905,1.3107,1.0457,13.7273,11.5224,0.0954,0.0907,42.1777,4.149,28.8297,0.8271,0.9449,190.9497,96.7077,66.3131,0,11.2853,17.165,5.4055,9.3412,38.5029,401.554,13.8932,4.5757,0.4777,0.4603,1.4407,1.0129
2024/25,Premier League,Everton,3773.9463,1.0016,1.0492,0.9002,1.0044,9.6344,11.4707,0.0934,0.0875,34.2214,2.7186,24.8016,0.6964,0.6627,174.3745,80.4383,56.686,0,11.6615,17.4326,3.6725,6.3911,29.7142,359.4089,9.6821,3.0286,0.4682,0.4567,0.9376,0.6203
2024/25,Premier League,Crystal Palace,3762.2527,1.22,1.22,1.2976,1.1074,12.3436,11.602,0.1051,0.0954,30.9309,3.5165,25.2853,0.8982,0.6894,197.0681,84.9225,66.4309,0,12.0326,18.4437,4.0906,7.8463,31.6485,377.7258,12.4393,4.1863,0.4389,0.3154,1.3726,0.9322
2024/25,Premier League,Chelsea,3824.113,1.5062,1.0119,1.3852,0.9439,13.9091,9.2727,0.0995,0.1018,45.0222,5.6248,23.7466,0.6179,0.9401,145.4454,78.9594,51.6355,0,9.3904,14.2856,5.5071,9.5551,42.1274,498.2331,14.0267,4.6834,0.441,0.3327,1.4774,1.0946
2024/25,Premier League,Brighton & Hove Albion,3849.3015,1.5431,1.3794,1.1835,1.0018,12.345,9.8433,0.0958,0.1017,40.215,4.8398,25.1344,0.5962,0.9998,191.2554,108.4638,69.2307,0,9.7264,17.0212,4.3956,7.5987,40.0046,447.9539,12.5087,4.2786,0.4334,0.4245,1.3117,0.9385
2024/25,Premier League,Manchester City,3725.0116,1.7395,1.063,1.4756,0.9576,14.6657,8.5529,0.1006,0.1119,59.6051,7.7073,28.6549,0.4262,1.2335,144.3378,88.3567,51.5595,0,9.2536,12.2496,6.1127,10.1717,52.0911,585.6384,14.7623,5.412,0.3499,0.6039,1.5514,1.185
2024/25,Premier League,Newcastle United,3803.7281,1.6089,1.112,1.3161,0.9655,12.4456,11.3336,0.1057,0.0851,38.2125,4.8978,27.3284,0.7128,0.8797,189.9031,96.4658,61.14,0,9.417,14.7644,5.1344,8.3996,41.5723,443.8093,12.5876,3.5964,0.4025,0.3935,1.4273,1.0548
2024/25,Premier League,Tottenham Hotspur,3786.2082,1.5213,1.545,1.2484,1.3752,11.8614,12.3606,0.1052,0.1112,41.7409,4.8254,26.504,0.5346,0.882,158.1687,80.5819,58.0712,0,10.6016,15.9737,5.7762,7.9631,39.0311,466.7572,11.9565,3.2803,0.4475,0.4517,1.3229,0.9552
2024/25,Premier League,Manchester United,3784.3823,1.0464,1.2842,1.1258,1.1404,12.5568,9.7981,0.0896,0.1163,38.7883,4.7326,23.5441,0.5364,0.8282,163.3582,76.5778,61.6666,0,10.1311,19.3822,4.685,8.7755,36.6004,484.7475,12.6519,4.6136,0.4454,0.336,1.2003,0.8688
2024/25,Premier League,West Ham United,3784.5649,1.0939,1.4744,1.0176,1.3112,11.2721,13.9117,0.0902,0.0942,33.9352,3.2104,22.1161,0.6672,0.7995,159.5216,73.6015,57.1452,0,11.4147,15.2197,3.6146,7.1818,31.9614,432.8819,11.3434,3.353,0.4301,0.4225,1.0735,0.8123
2024/25,Premier League,Nottingham Forest,3802.9895,1.3726,1.0886,0.9824,1.0823,10.9808,12.519,0.0894,0.0864,32.1378,3.3368,22.6006,0.6818,0.7219,161.8726,64.891,57.2234,0,10.4601,17.4652,3.7628,6.65,30.0316,342.7724,11.0518,3.9758,0.4691,0.3787,1.038,0.6873
2024/25,Premier League,Wolverhampton Wanderers,3816.412,1.2734,1.6271,0.9647,1.0948,10.2347,11.0365,0.0942,0.0992,34.6189,2.7827,21.4363,0.4604,0.7198,169.1798,72.162,63.1299,0,9.6923,20.0214,3.4901,6.3436,27.6149,418.1623,10.2347,3.8203,0.4224,0.3394,0.9647,0.7734
2024/25,Premier League,Brentford,3776.3108,1.5729,1.3584,1.2222,1.2687,10.391,15.4913,0.1176,0.0819,33.7472,4.5282,28.2656,0.7233,0.8099,151.7195,75.3354,58.8669,0,9.6761,15.0384,4.1469,6.4348,37.3698,408.1602,10.534,2.4547,0.4376,0.4585,1.3342,0.9072
2024/25,Premier League,Ipswich Town,3774.6542,0.8583,1.9551,0.7568,1.5549,8.965,14.4251,0.0844,0.1077,28.2304,2.4558,18.0493,0.4636,0.6544,169.4777,77.1567,54.2433,0,9.8949,14.139,3.4572,5.9608,23.3902,353.2138,9.0127,3.5288,0.4993,0.4167,0.7942,0.5579
2024/25,Premier League,Fulham,3779.1771,1.2859,1.2859,1.032,0.9955,12.3598,10.3832,0.0835,0.0958,43.2713,4.358,27.3869,0.6566,0.8294,160.0824,71.7299,56.6075,0,10.0259,16.9084,4.8343,8.216,37.8892,470.531,12.455,3.6198,0.4982,0.4872,1.1066,0.8341
2024/25,Premier League,Aston Villa,3827.6731,1.3637,1.1991,1.1684,1.0327,11.3097,10.957,0.1033,0.0942,36.257,4.4204,24.7591,0.5643,0.9065,138.75,60.0991,52.9512,0,9.0289,14.625,5.4079,7.2184,35.387,417.9902,11.4508,3.5504,0.414,0.4491,1.279,0.8342
2023/24,Premier League,Arsenal,3847.8613,2.1284,0.6782,1.5446,0.5843,15.1564,7.508,0.1019,0.0778,49.6561,8.1629,31.4824,0.857,1.0027,135.5896,77.4196,51.27,0,9.5897,14.5483,6.1982,10.5721,57.8659,523.2023,15.3903,4.5609,0.3417,0.4,1.7279,1.2172
2023/24,Premier League,Liverpool,3857.5747,2.0064,0.9565,1.8362,0.9801,18.3612,9.6822,0.1,0.1012,55.2238,6.9992,35.696,1.0263,1.1695,157.3657,85.6004,64.9293,0,10.2888,16.4014,6.6959,12.5519,54.0572,559.6106,18.5712,6.4159,0.3934,0.4638,2.0008,1.4485
2023/24,Premier League,AFC Bournemouth,3879.7226,1.2526,1.5542,1.2296,1.2181,12.5266,12.2251,0.0981,0.0996,36.6753,4.1523,26.5379,0.8218,0.8186,175.7445,90.9111,61.0559,0,12.0395,16.5862,5.4514,8.6526,38.5079,362.2063,12.5962,4.1987,0.4361,0.402,1.2841,0.9252
2023/24,Premier League,Everton,3853.4548,0.9342,1.1911,1.1764,1.0811,11.7712,12.4252,0.0999,0.087,33.1183,2.8493,28.2603,0.8532,0.59,185.0702,93.8897,60.5378,0,12.9857,17.9605,4.2273,7.1701,30.3857,355.987,11.8413,4.204,0.4297,0.4341,1.2313,0.7733
2023/24,Premier League,Crystal Palace,3829.2019,1.3397,1.3632,0.9994,1.1085,10.6706,10.8586,0.0936,0.102,32.5759,3.4785,21.8348,0.6917,0.6729,184.4326,80.4057,62.308,0,11.2582,18.8028,4.1836,7.2626,29.544,386.5635,10.7646,3.6665,0.4165,0.3395,1.073,0.7277
2023/24,Premier League,Chelsea,3886.9688,1.7828,1.4587,1.4181,1.1442,12.5264,12.8043,0.1132,0.0893,43.5069,5.0244,23.2005,0.643,1.0603,142.4451,67.5179,55.7092,0,11.0445,15.6291,4.6771,8.4976,38.3666,530.6963,12.8043,4.4456,0.3892,0.4381,1.6358,1.1904
2023/24,Premier League,Burnley,3835.1995,0.9621,1.8304,0.8758,1.4262,10.1611,14.3617,0.0862,0.0993,33.5341,3.5904,21.1905,0.3157,0.7778,148.7328,73.8032,55.7337,0,9.9499,14.7371,4.224,6.7115,29.662,412.5,10.2315,3.8485,0.4296,0.3471,0.931,0.6753
2023/24,Premier League,Brighton & Hove Albion,3847.9686,1.2863,1.4501,1.1459,1.1281,13.0276,10.8524,0.0879,0.1039,44.9535,5.356,26.4061,0.5426,0.8962,158.39,84.0833,58.8466,0,9.9169,15.3899,4.8181,9.145,41.6791,576.9355,13.1679,4.4205,0.4109,0.5423,1.2559,0.895
2023/24,Premier League,Manchester City,3808.0662,2.2688,0.8035,1.605,0.7533,16.1656,6.8538,0.0992,0.1099,62.5356,8.9336,29.4716,0.6321,1.3141,129.1127,79.0322,51.2149,0,8.5082,12.2424,6.7593,10.7771,54.571,647.3128,16.402,5.6249,0.3696,0.5859,1.7901,1.2756
2023/24,Premier League,Newcastle United,3876.5167,1.9734,1.4394,1.4928,1.2241,12.6531,12.328,0.1179,0.0992,36.961,5.1076,26.467,0.7063,0.8871,173.3592,88.6646,59.8527,0,10.3546,15.2069,4.4576,8.4276,41.9758,451.4955,12.862,3.5985,0.3903,0.44,1.6565,1.1956
2023/24,Premier League,Tottenham Hotspur,3891.6819,1.7113,1.4107,1.4359,1.262,13.5519,11.1931,0.1059,0.1127,48.8888,7.3541,28.3065,0.6588,0.9648,134.5022,74.374,57.4918,0,11.1931,16.9052,5.4115,9.2504,47.7094,547.7683,13.5982,4.3014,0.3954,0.3789,1.4722,1.2066
2023/24,Premier League,Manchester United,3848.7277,1.3329,1.3562,1.1276,1.3814,12.7678,15.4804,0.0883,0.0892,39.73,4.7236,24.3898,0.6231,0.93,144.5386,67.3469,53.0357,0,10.9438,15.153,5.238,9.2602,37.7657,449.0496,12.9315,4.5833,0.3758,0.4051,1.2559,0.8458
2023/24,Premier League,West Ham United,3840.3279,1.4061,1.7342,1.0458,1.4021,10.4522,15.0924,0.1,0.0929,30.8879,2.6482,21.795,0.7844,0.7805,148.2764,66.3224,49.5895,0,11.3427,16.1236,3.8902,6.0697,27.5132,375.2257,10.5694,3.3278,0.5193,0.4397,1.1377,0.751
2023/24,Premier League,Nottingham Forest,3877.0338,1.1374,1.5553,1.028,1.122,10.3997,11.8621,0.0988,0.0945,30.8741,4.0159,23.0511,0.6631,0.6545,149.4957,59.4965,49.7003,0,11.1193,17.3637,3.4356,6.5462,29.3188,355.7951,10.4229,3.8766,0.4612,0.4683,1.0462,0.7886
2023/24,Premier League,Wolverhampton Wanderers,3879.4597,1.1599,1.5079,0.9424,1.3604,9.8596,13.3162,0.0955,0.1021,33.4067,3.5958,20.5776,0.4545,0.7857,148.4974,62.9855,57.2785,0,11.5531,17.9097,3.5958,6.4261,28.4653,435.4472,9.9524,3.3638,0.4757,0.3029,1.0151,0.6768
